Section,SubSection,Action,DedupeKey
CAMERA,COCKPIT CAMERA,COCKPIT CAMERA SLIDE FRONT (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT CAMERA SLIDE BACK (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT CAMERA HEIGHT INC (LOCKABLE),
CAMERA,COCKPIT CAMERA,COCKPIT CAMERA HEIGHT DEC (LOCKABLE),
CAMERA,DRONE CAMERA,YAW DRONE RIGHT (LOCKABLE),
CAMERA,DRONE CAMERA,YAW DRONE RIGHT,
CAMERA,DRONE CAMERA,YAW DRONE LEFT (LOCKABLE),
CAMERA,DRONE CAMERA,YAW DRONE LEFT,
CAMERA,DRONE CAMERA,TRANSLATE DRONE UP (LOCKABLE),
CAMERA,DRONE CAMERA,TRANSLATE DRONE UP,
CAMERA,DRONE CAMERA,TRANSLATE DRONE RIGHT (LOCKABLE),
CAMERA,DRONE CAMERA,TRANSLATE DRONE RIGHT,
CAMERA,DRONE CAMERA,TRANSLATE DRONE LEFT (LOCKABLE),
CAMERA,DRONE CAMERA,TRANSLATE DRONE LEFT,
CAMERA,DRONE CAMERA,TRANSLATE DRONE FORWARD (LOCKABLE),
CAMERA,DRONE CAMERA,TRANSLATE DRONE FORWARD,
CAMERA,DRONE CAMERA,TRANSLATE DRONE DOWN (LOCKABLE),
CAMERA,DRONE CAMERA,TRANSLATE DRONE DOWN,
CAMERA,DRONE CAMERA,TRANSLATE DRONE BACKWARD (LOCKABLE),
CAMERA,DRONE CAMERA,TRANSLATE DRONE BACKWARD,
CAMERA,DRONE CAMERA,TOGGLE PLANE CONTROLS,
CAMERA,DRONE CAMERA,TOGGLE FOREGROUND BLUR,
CAMERA,DRONE CAMERA,TOGGLE DRONE LOCK MODE,
CAMERA,DRONE CAMERA,TOGGLE DRONE FOLLOW MODE,
CAMERA,DRONE CAMERA,TOGGLE DRONE DEPTH OF FIELD,
CAMERA,DRONE CAMERA,TOGGLE DRONE CAMERA,
CAMERA,DRONE CAMERA,TOGGLE DRONE AUTO FOCUS,
CAMERA,DRONE CAMERA,TOGGLE DRONE AUTO EXPOSURE,
CAMERA,DRONE CAMERA,SET DRONE TARGET,
CAMERA,DRONE CAMERA,SET DRONE BOOKMARK OUT,
CAMERA,DRONE CAMERA,SET DRONE BOOKMARK IN,
CAMERA,DRONE CAMERA,ROLL DRONE RIGHT (LOCKABLE),
CAMERA,DRONE CAMERA,ROLL DRONE RIGHT,
CAMERA,DRONE CAMERA,ROLL DRONE LEFT (LOCKABLE),
CAMERA,DRONE CAMERA,ROLL DRONE LEFT,
CAMERA,DRONE CAMERA,RESET DRONE TARGET OFFSET,
CAMERA,DRONE CAMERA,RESET DRONE ROLL,
CAMERA,DRONE CAMERA,PITCH DRONE UP (LOCKABLE),
CAMERA,DRONE CAMERA,PITCH DRONE UP,
CAMERA,DRONE CAMERA,PITCH DRONE DOWN (LOCKABLE),
CAMERA,DRONE CAMERA,PITCH DRONE DOWN,
CAMERA,DRONE CAMERA,LOCK DRONE TO PREVIOUS TARGET,
CAMERA,DRONE CAMERA,LOCK DRONE TO NEXT TARGET,
CAMERA,DRONE CAMERA,INCREASE DRONE ZOOM,
CAMERA,DRONE CAMERA,INCREASE DRONE TRANSLATION SPEED,
CAMERA,DRONE CAMERA,INCREASE DRONE ROTATION SPEED,
CAMERA,DRONE CAMERA,INCREASE DRONE EXPOSURE,
CAMERA,DRONE CAMERA,INCREASE DRONE DEPTH OF FIELD,
CAMERA,DRONE CAMERA,DRONE Z TRANSLATION AXIS (LOCKABLE),
CAMERA,DRONE CAMERA,DRONE Z TRANSLATION AXIS,
CAMERA,DRONE CAMERA,DRONE YAW AXIS (LOCKABLE),
CAMERA,DRONE CAMERA,DRONE YAW AXIS,
CAMERA,DRONE CAMERA,DRONE Y TRANSLATION AXIS (LOCKABLE),
CAMERA,DRONE CAMERA,DRONE Y TRANSLATION AXIS,
CAMERA,DRONE CAMERA,DRONE X TRANSLATION AXIS (LOCKABLE),
CAMERA,DRONE CAMERA,DRONE X TRANSLATION AXIS,
CAMERA,DRONE CAMERA,DRONE TOP DOWN VIEW,
CAMERA,DRONE CAMERA,DRONE ROLL AXIS (LOCKABLE),
CAMERA,DRONE CAMERA,DRONE ROLL AXIS,
CAMERA,DRONE CAMERA,DRONE PITCH AXIS (LOCKABLE),
CAMERA,DRONE CAMERA,DRONE PITCH AXIS,
CAMERA,DRONE CAMERA,DRONE IN / OUT REWIND,
CAMERA,DRONE CAMERA,DRONE IN / OUT PLAY,
CAMERA,DRONE CAMERA,DECREASE DRONE ZOOM,
CAMERA,DRONE CAMERA,DECREASE DRONE TRANSLATION SPEED,
CAMERA,DRONE CAMERA,DECREASE DRONE ROTATION SPEED,
CAMERA,DRONE CAMERA,DECREASE DRONE EXPOSURE,
CAMERA,DRONE CAMERA,DECREASE DRONE DEPTH OF FIELD,
CAMERA,DRONE CAMERA,ATTACH DRONE TO PREVIOUS TARGET,
CAMERA,DRONE CAMERA,ATTACH DRONE TO NEXT TARGET,
CAMERA,EXTERNAL CAMERA,ZOOM EXTERNAL VIEW,
CAMERA,EXTERNAL CAMERA,UNZOOM EXTERNAL VIEW,
CAMERA,EXTERNAL CAMERA,TOGGLE EXTERNAL VIEW FREELOOK (HOLD),
CAMERA,EXTERNAL CAMERA,TOGGLE EXTERNAL VIEW FOCUS,
CAMERA,EXTERNAL CAMERA,TOGGLE EXTERNAL VIEW,
CAMERA,EXTERNAL CAMERA,RESET EXTERNAL VIEW,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW ZOOM AXIS (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW ZOOM AXIS,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW YAW AXIS (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW YAW AXIS,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW PITCH AXIS (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW PITCH AXIS,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK UP RIGHT (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK UP RIGHT,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK UP LEFT (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK UP LEFT,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK UP (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK UP,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK RIGHT (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK RIGHT,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK LEFT (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK LEFT,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK DOWN RIGHT (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK DOWN RIGHT,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK DOWN LEFT (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK DOWN LEFT,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK DOWN (LOCKABLE),
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW LOOK DOWN,
CAMERA,EXTERNAL CAMERA,EXTERNAL VIEW FREELOOK,
CAMERA,EXTERNAL CAMERA,EXTERNAL QUICKVIEW TOP,
CAMERA,EXTERNAL CAMERA,EXTERNAL QUICKVIEW RIGHT,
CAMERA,EXTERNAL CAMERA,EXTERNAL QUICKVIEW REAR,
CAMERA,EXTERNAL CAMERA,EXTERNAL QUICKVIEW LEFT,
CAMERA,EXTERNAL CAMERA,EXTERNAL QUICKVIEW 45° RIGHT,
CAMERA,EXTERNAL CAMERA,EXTERNAL QUICKVIEW 45° LEFT,
CAMERA,EXTERNAL CAMERA,EXTERNAL QUICKVIEW 120° RIGHT,
CAMERA,EXTERNAL CAMERA,EXTERNAL QUICKVIEW 120° LEFT,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 9,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 8,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 7,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 6,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 5,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 4,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 3,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 2,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 10,
CAMERA,FIXED CAMERA,TOGGLE FIXED CAMERA 1,
CAMERA,FIXED CAMERA,RESET FIXED CAMERA,
CAMERA,FIXED CAMERA,PREVIOUS FIXED CAMERA,
CAMERA,FIXED CAMERA,NEXT FIXED CAMERA,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENTS VIEW FREELOOK (HOLD),
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW FREELOOK,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW AUTOSELECT,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 9,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 8,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 7,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 6,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 5,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 4,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 3,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 2,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 10,
CAMERA,INSTRUMENT VIEWS,TOGGLE INSTRUMENT VIEW 1,
CAMERA,INSTRUMENT VIEWS,PREVIOUS INSTRUMENT VIEW,
CAMERA,INSTRUMENT VIEWS,NEXT INSTRUMENT VIEW,
CAMERA,INSTRUMENT VIEWS,INSTRUMENT VIEW UP,
CAMERA,INSTRUMENT VIEWS,INSTRUMENT VIEW RIGHT,
CAMERA,INSTRUMENT VIEWS,INSTRUMENT VIEW LEFT,
CAMERA,INSTRUMENT VIEWS,INSTRUMENT VIEW DOWN,
CAMERA,SLEW MODE,TOGGLE SLEW MODE,
CAMERA,SLEW MODE,SLEW Z AXIS TRANSLATION,
CAMERA,SLEW MODE,SLEW YAW RIGHT,
CAMERA,SLEW MODE,SLEW YAW LEFT,
CAMERA,SLEW MODE,SLEW YAW AXIS,
CAMERA,SLEW MODE,SLEW Y AXIS TRANSLATION FREEZE,
CAMERA,SLEW MODE,SLEW Y AXIS TRANSLATION,
CAMERA,SLEW MODE,SLEW X AXIS TRANSLATION FREEZE,
CAMERA,SLEW MODE,SLEW X AXIS TRANSLATION,
CAMERA,SLEW MODE,SLEW TRANSLATE UP (SLOW),
CAMERA,SLEW MODE,SLEW TRANSLATE UP (FAST),
CAMERA,SLEW MODE,SLEW TRANSLATE UP,
CAMERA,SLEW MODE,SLEW TRANSLATE RIGHT,
CAMERA,SLEW MODE,SLEW TRANSLATE LEFT,
CAMERA,SLEW MODE,SLEW TRANSLATE FORWARD,
CAMERA,SLEW MODE,SLEW TRANSLATE DOWN (SLOW),
CAMERA,SLEW MODE,SLEW TRANSLATE DOWN (FAST),
CAMERA,SLEW MODE,SLEW TRANSLATE DOWN,
CAMERA,SLEW MODE,SLEW TRANSLATE BACKWARD,
CAMERA,SLEW MODE,SLEW ROLL RIGHT,
CAMERA,SLEW MODE,SLEW ROLL LEFT,
CAMERA,SLEW MODE,SLEW ROLL AXIS,
CAMERA,SLEW MODE,SLEW PITCH UP (SLOW),
CAMERA,SLEW MODE,SLEW PITCH UP (FAST),
CAMERA,SLEW MODE,SLEW PITCH UP,
CAMERA,SLEW MODE,SLEW PITCH FREEZE,
CAMERA,SLEW MODE,SLEW PITCH DOWN (SLOW),
CAMERA,SLEW MODE,SLEW PITCH DOWN (FAST),
CAMERA,SLEW MODE,SLEW PITCH DOWN,
CAMERA,SLEW MODE,SLEW PITCH AXIS,
CAMERA,SLEW MODE,SET SLEW MODE ON,
CAMERA,SLEW MODE,SET SLEW MODE OFF,
CAMERA,SLEW MODE,RESET SLEW MODE,
CAMERA,,EYE TRACKING RESET,
CAMERA,,VR - COCKPIT FOCUS,
CAMERA,CAMERA MODE SWITCHES,TOGGLE DRONE,
CAMERA,CAMERA MODE SWITCHES,COCKPIT/ EXTERNAL VIEW MODE,
CAMERA,,VR - CAMERA RESET,
CAMERA,,UNSET CUSTOM SMARTCAM TARGET,
CAMERA,,TOGGLE HEAD TRACKING,
CAMERA,,TOGGLE FOLLOW SMARTCAM TARGET,
CAMERA,,TOGGLE CAMERA LOCK,
CAMERA,,SET CUSTOM SMARTCAM TARGET,
CAMERA,,SELECT NEXT POI,
CAMERA,,SAVE HOME COCKPIT CAMERA,
CAMERA,,RESET SMARTCAM,
CAMERA,,RESET HOME COCKPIT CAMERA,
CAMERA,,PREVIOUS SMARTCAM TARGET,
CAMERA,,NEXT SMARTCAM TARGET,
CAMERA,,CAMERA AI PLAYER,
MENU,,TOOLBAR PANEL MOVE UP,
MENU,,TOOLBAR PANEL MOVE RIGHT,
MENU,,TOOLBAR PANEL MOVE LEFT,
MENU,,TOOLBAR PANEL INCREASE VERTICAL SIZE,
MENU,,TOOLBAR PANEL INCREASE HORIZONTAL SIZE,
MENU,,TOOLBAR PANEL DECREASE VERTICAL SIZE,
MENU,,TOOLBAR PANEL DECREASE HORIZONTAL SIZE,
MENU,,TOOLBAR PANEL CLOSE ALL,
MENU,,TOGGLE TOOLBAR,
MENU,,TOGGLE SCREEN NARRATOR,
MENU,,TOGGLE PAUSE,
MENU,,TOGGLE BASIC CONTROL PANEL,
MENU,,TOGGLE ACTIVE PAUSE,
MENU,,SHOW TOOLBAR,
MENU,,SELECT 4,
MENU,,SELECT 3,
MENU,,SELECT 2,
MENU,,SELECT 1,
MENU,,SEE SPECIFICATIONS,
MENU,,RESTART FREE FLIGHT,
MENU,,RESTART ACTIVITY,
MENU,,PREVIOUS TOOLBAR PANEL,
MENU,,NEXT TOOLBAR PANEL,
MENU,,MENU INCREASE,
MENU,,MENU DECREASE,
MENU,,LIVERIES,
MENU,,LAST WAYPOINT RESTART,
MENU,,IN-FLIGHT UI PANEL - ZOOM OUT,
MENU,,IN-FLIGHT UI PANEL - ZOOM IN,
MENU,,IN-FLIGHT UI PANEL - ZOOM AXIS,
MENU,,HIDE TOOLBAR,
MENU,,HELP MENU,
MENU,,GRAB WORLDMAP,
MENU,,FLY,
MENU,,DISPLAY CHECKLIST,
MENU,,CLOSE MENU,
MENU,,CLEAR SEARCH,
MENU,,CHANGE AIRCRAFT,
MENU,,BACK TO MAIN MENU,
VR,,VR - TOOLBAR TOGGLE,
VR,,VR - ACTIVATE / DEACTIVATE VR MODE,
VR,,SWITCH PROXIMITY/RAYCAST,
VR,,SELECT,
RADIO,ADF,TOGGLE ADF2 IDENTIFIER,
RADIO,ADF,TOGGLE ADF IDENTIFIER,
RADIO,ADF,SET ADF2 VOLUME,
RADIO,ADF,SET ADF2 NEEDLE,
RADIO,ADF,SET ADF2 IDENTIFIER,
RADIO,ADF,SET ADF2 HIGHRANGE,
RADIO,ADF,SET ADF2 EXTENDED,
RADIO,ADF,SET ADF2 COMPLETE,
RADIO,ADF,SET ADF2,
RADIO,ADF,SET ADF1 NEEDLE,
RADIO,ADF,SET ADF1 COMPLETE,
RADIO,ADF,SET ADF VOLUME,
RADIO,ADF,SET ADF LOWRANGE,
RADIO,ADF,SET ADF IDENTIFIER,
RADIO,ADF,SET ADF HIGHRANGE,
RADIO,ADF,SET ADF CARD,
RADIO,ADF,SET ADF 2 LOWRANGE,
RADIO,ADF,SET ADF,
RADIO,ADF,INCREASE ADF2 VOLUME,
RADIO,ADF,INCREASE ADF2 FREQUENCY (WHOLE),
RADIO,ADF,INCREASE ADF2 FREQUENCY (FRACT),
RADIO,ADF,INCREASE ADF2 (100),
RADIO,ADF,INCREASE ADF2 (10),
RADIO,ADF,INCREASE ADF2 (1),
RADIO,ADF,INCREASE ADF2 (0.1),
RADIO,ADF,INCREASE ADF1 FREQUENCY (WHOLE),
RADIO,ADF,"INCREASE ADF1 FREQUENCY (FRACT, CARRY)",
RADIO,ADF,INCREASE ADF1 (100),
RADIO,ADF,INCREASE ADF1 (10),
RADIO,ADF,INCREASE ADF1 (1),
RADIO,ADF,INCREASE ADF1 (0.1),
RADIO,ADF,INCREASE ADF VOLUME,
RADIO,ADF,INCREASE ADF CARD,
RADIO,ADF,ENABLE ADF2 IDENTIFIER,
RADIO,ADF,ENABLE ADF IDENTIFIER,
RADIO,ADF,DISABLE ADF2 IDENTIFIER,
RADIO,ADF,DISABLE ADF IDENTIFIER,
RADIO,ADF,DECREASE ADF2 VOLUME,
RADIO,ADF,DECREASE ADF2 FREQUENCY (WHOLE),
RADIO,ADF,DECREASE ADF2 FREQUENCY (FRACT),
RADIO,ADF,DECREASE ADF2 (100),
RADIO,ADF,DECREASE ADF2 (10),
RADIO,ADF,DECREASE ADF2 (1),
RADIO,ADF,DECREASE ADF2 (0.1),
RADIO,ADF,DECREASE ADF1 FREQUENCY (WHOLE),
RADIO,ADF,"DECREASE ADF1 FREQUENCY (FRACT, CARRY)",
RADIO,ADF,DECREASE ADF1 (100),
RADIO,ADF,DECREASE ADF1 (10),
RADIO,ADF,DECREASE ADF1 (1),
RADIO,ADF,DECREASE ADF1 (0.1),
RADIO,ADF,DECREASE ADF VOLUME,
RADIO,ADF,DECREASE ADF CARD,
RADIO,ADF,ADF2 SWAP,
RADIO,ADF,ADF2 OUTSIDE SOURCE,
RADIO,ADF,ADF1 SWAP,
RADIO,ADF,ADF1 OUTSIDE SOURCE,
RADIO,ADF,ADF,
RADIO,COMMS,TOGGLE COMM2 AUTOSWITCH,
RADIO,COMMS,TOGGLE COMM1 AUTOSWITCH,
RADIO,COMMS,TOGGLE COMM NAV3 TEST,
RADIO,COMMS,TOGGLE COMM NAV2 TEST,
RADIO,COMMS,TOGGLE COMM NAV1 TEST,
RADIO,COMMS,TOGGLE ALL COM RECEIVE,
RADIO,COMMS,SET COM3 VOLUME,
RADIO,COMMS,SET COM3 STORED FREQUENCY INDEX,
RADIO,COMMS,SET COM3 STORED FREQUENCY,
RADIO,COMMS,SET COM3 STANDBY,
RADIO,COMMS,SET COM3,
RADIO,COMMS,SET COM2 VOLUME,
RADIO,COMMS,SET COM2 STORED FREQUENCY INDEX,
RADIO,COMMS,SET COM2 STORED FREQUENCY,
RADIO,COMMS,SET COM2 STANDBY,
RADIO,COMMS,SET COM2,
RADIO,COMMS,SET COM1 VOLUME,
RADIO,COMMS,SET COM1 STORED FREQUENCY INDEX,
RADIO,COMMS,SET COM1 STORED FREQUENCY,
RADIO,COMMS,SET COM1 STANDBY,
RADIO,COMMS,SET COM RADIO,
RADIO,COMMS,SET ALL COM RECEIVE,
RADIO,COMMS,SELECT COM3 RECEIVE,
RADIO,COMMS,SELECT COM2 TRANSMIT,
RADIO,COMMS,SELECT COM2 RECEIVE,
RADIO,COMMS,SELECT COM1 TRANSMIT,
RADIO,COMMS,SELECT COM1 RECEIVE,
RADIO,COMMS,INCREASE COM3 VOLUME,
RADIO,COMMS,INCREASE COM3 FREQUENCY (WHOLE),
RADIO,COMMS,"INCREASE COM3 FREQUENCY (FRACT, CARRY)",
RADIO,COMMS,INCREASE COM3 FREQUENCY (FRACT),
RADIO,COMMS,INCREASE COM2 VOLUME,
RADIO,COMMS,INCREASE COM2 FREQUENCY (WHOLE),
RADIO,COMMS,"INCREASE COM2 FREQUENCY (FRACT, CARRY)",
RADIO,COMMS,INCREASE COM2 FREQUENCY (FRACT),
RADIO,COMMS,INCREASE COM1 VOLUME,
